Número de registro o fila,Nombre de campo,Dato publicado,Dato nuevo,Estatus del cambio,Fecha de modificación,Observaciones del cambio,
52733,VAL_USD,429711,428820,Cifras Preliminares.,29/09/2023,A partir del 29 de septiembre de 2023 se ajustó la información del subsector 111 Agricultura en Baja California correspondiente al segundo trimestre de 2022.,
52841,VAL_USD,59366,58290,Cifras Preliminares.,29/09/2023,A partir del 29 de septiembre de 2023 se ajustó la información del subsector 111 Agricultura en Colima correspondiente al segundo trimestre de 2022.,
52868,VAL_USD,75168,75068,Cifras Preliminares.,29/09/2023,A partir del 29 de septiembre de 2023 se ajustó la información del subsector 111 Agricultura en Chiapas correspondiente al segundo trimestre de 2022.,
53057,VAL_USD,186569,190343,Cifras Preliminares.,29/09/2023,A partir del 29 de septiembre de 2023 se ajustó la información del subsector 111 Agricultura en Jalisco correspondiente al segundo trimestre de 2022.,
53084,VAL_USD,17204,17241,Cifras Preliminares.,29/09/2023,A partir del 29 de septiembre de 2023 se ajustó la información del subsector 111 Agricultura en México correspondiente al segundo trimestre de 2022.,
53111,VAL_USD,948312,1100155,Cifras Preliminares.,29/09/2023,A partir del 29 de septiembre de 2023 se ajustó la información del subsector 111 Agricultura en Michoacán de Ocampo correspondiente al segundo trimestre de 2022.,
53165,VAL_USD,46408,46623,Cifras Preliminares.,29/09/2023,A partir del 29 de septiembre de 2023 se ajustó la información del subsector 111 Agricultura en Nayarit correspondiente al segundo trimestre de 2022.,
53192,VAL_USD,20844,20871,Cifras Preliminares.,29/09/2023,A partir del 29 de septiembre de 2023 se ajustó la información del subsector 111 Agricultura en Nuevo León correspondiente al segundo trimestre de 2022.,
53219,VAL_USD,49375,47778,Cifras Preliminares.,29/09/2023,A partir del 29 de septiembre de 2023 se ajustó la información del subsector 111 Agricultura en Oaxaca correspondiente al segundo trimestre de 2022.,
53246,VAL_USD,70542,73268,Cifras Preliminares.,29/09/2023,A partir del 29 de septiembre de 2023 se ajustó la información del subsector 111 Agricultura en Puebla correspondiente al segundo trimestre de 2022.,
53273,VAL_USD,35401,35407,Cifras Preliminares.,29/09/2023,A partir del 29 de septiembre de 2023 se ajustó la información del subsector 111 Agricultura en Querétaro correspondiente al segundo trimestre de 2022.,
53327,VAL_USD,24420,24387,Cifras Preliminares.,29/09/2023,A partir del 29 de septiembre de 2023 se ajustó la información del subsector 111 Agricultura en San Luis Potosí correspondiente al segundo trimestre de 2022.,
53381,VAL_USD,865388,863148,Cifras Preliminares.,29/09/2023,A partir del 29 de septiembre de 2023 se ajustó la información del subsector 111 Agricultura en Sonora correspondiente al segundo trimestre de 2022.,
53408,VAL_USD,21045,18631,Cifras Preliminares.,29/09/2023,A partir del 29 de septiembre de 2023 se ajustó la información del subsector 111 Agricultura en Tabasco correspondiente al segundo trimestre de 2022.,
53435,VAL_USD,113497,109843,Cifras Preliminares.,29/09/2023,A partir del 29 de septiembre de 2023 se ajustó la información del subsector 111 Agricultura en Tamaulipas correspondiente al segundo trimestre de 2022.,
53489,VAL_USD,179418,160024,Cifras Preliminares.,29/09/2023,A partir del 29 de septiembre de 2023 se ajustó la información del subsector 111 Agricultura en Veracruz de Ignacio de la Llave correspondiente al segundo trimestre de 2022.,
53516,VAL_USD,10293,9318,Cifras Preliminares.,29/09/2023,A partir del 29 de septiembre de 2023 se ajustó la información del subsector 111 Agricultura en Yucatán correspondiente al segundo trimestre de 2022.,
